run_id,scenario,policy_tag,t_global,agent,group,action,action_name,reward,done,term,trunc,healthcare_budget,social_service_budget,pre_actor_agent,pre_actor_group,pre_actor_x,pre_actor_y,pre_actor_health,pre_actor_admin,pre_actor_trust,pre_actor_engagement_counter,pre_actor_non_engagement_counter,pre_actor_cap_bh,pre_actor_cap_af,post_actor_agent,post_actor_group,post_actor_x,post_actor_y,post_actor_health,post_actor_admin,post_actor_trust,post_actor_engagement_counter,post_actor_non_engagement_counter,post_actor_cap_bh,post_actor_cap_af,actor_agent,actor_group,actor_x,actor_y,actor_health,actor_admin,actor_trust,actor_engagement_counter,actor_non_engagement_counter,actor_cap_bh,actor_cap_af,mask,possible_actions,impossible_actions
run_001,policy_inclusive_healthcare,eval_policyOFF,1,peh_0,NONREG_LOW,1,KEEP_FORWARD,0.0,False,False,False,5000.0,4990.0,peh_0,NONREG_LOW,1,3,3.0,non-registered,LOW_TRUST,0,0,,,peh_0,NONREG_LOW,1,3,2.5,non-registered,LOW_TRUST,0,0,0.0,0.8,peh_0,NONREG_LOW,1,3,2.5,non-registered,LOW_TRUST,0,0,0.0,0.8,"1,1,1,1,1","[""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""RECEIVE_MEDICAL_ATTENTION"", ""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,2,peh_1,NONREG_LOW,0,RECEIVE_MEDICAL_ATTENTION,-0.05,False,False,False,5000.0,4980.0,peh_1,NONREG_LOW,4,0,3.0,non-registered,LOW_TRUST,0,0,0.0,0.0,peh_1,NONREG_LOW,4,0,2.5,non-registered,LOW_TRUST,0,0,0.0,0.0,peh_1,NONREG_LOW,4,0,2.5,non-registered,LOW_TRUST,0,0,0.0,0.0,"1,1,1,1,1","[""KEEP_FORWARD"", ""REMAIN_DISENGAGED""]","[""RECEIVE_MEDICAL_ATTENTION"", ""ENGAGE_SOCIAL_SERVICES"", ""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,3,peh_2,NONREG_MOD,1,KEEP_FORWARD,0.0,False,False,False,5000.0,4970.0,peh_2,NONREG_MOD,3,3,3.0,non-registered,MODERATE_TRUST,0,0,0.0,0.0,peh_2,NONREG_MOD,3,3,2.5,non-registered,MODERATE_TRUST,0,0,0.0,0.8,peh_2,NONREG_MOD,3,3,2.5,non-registered,MODERATE_TRUST,0,0,0.0,0.8,"1,1,1,1,1","[""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""RECEIVE_MEDICAL_ATTENTION"", ""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,4,peh_3,NONREG_MOD,0,RECEIVE_MEDICAL_ATTENTION,-0.05,False,False,False,5000.0,4960.0,peh_3,NONREG_MOD,5,5,3.0,non-registered,MODERATE_TRUST,0,0,0.0,0.0,peh_3,NONREG_MOD,5,5,2.5,non-registered,MODERATE_TRUST,0,0,0.0,0.8,peh_3,NONREG_MOD,5,5,2.5,non-registered,MODERATE_TRUST,0,0,0.0,0.8,"1,1,1,1,1","[""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""RECEIVE_MEDICAL_ATTENTION"", ""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,5,peh_4,REG_LOW,0,RECEIVE_MEDICAL_ATTENTION,0.1,False,False,False,4970.0,4950.0,peh_4,REG_LOW,2,3,3.0,registered,LOW_TRUST,0,0,0.0,0.0,peh_4,REG_LOW,2,3,3.5,registered,LOW_TRUST,0,0,1.0,1.0,peh_4,REG_LOW,2,3,3.5,registered,LOW_TRUST,0,0,1.0,1.0,"1,1,1,1,1","[""RECEIVE_MEDICAL_ATTENTION"", ""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,6,peh_5,REG_LOW,0,RECEIVE_MEDICAL_ATTENTION,0.1,False,False,False,4940.0,4940.0,peh_5,REG_LOW,6,6,3.0,registered,LOW_TRUST,0,0,0.0,0.0,peh_5,REG_LOW,6,6,3.5,registered,LOW_TRUST,0,0,1.0,1.0,peh_5,REG_LOW,6,6,3.5,registered,LOW_TRUST,0,0,1.0,1.0,"1,1,1,1,1","[""RECEIVE_MEDICAL_ATTENTION"", ""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,7,peh_6,REG_MOD,0,RECEIVE_MEDICAL_ATTENTION,0.1,False,False,False,4910.0,4930.0,peh_6,REG_MOD,3,4,3.0,registered,MODERATE_TRUST,0,0,0.0,0.0,peh_6,REG_MOD,3,4,3.5,registered,MODERATE_TRUST,0,0,1.0,1.0,peh_6,REG_MOD,3,4,3.5,registered,MODERATE_TRUST,0,0,1.0,1.0,"1,1,1,1,1","[""RECEIVE_MEDICAL_ATTENTION"", ""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,8,peh_7,REG_MOD,0,RECEIVE_MEDICAL_ATTENTION,0.1,False,False,False,4880.0,4920.0,peh_7,REG_MOD,2,5,3.0,registered,MODERATE_TRUST,0,0,0.0,0.0,peh_7,REG_MOD,2,5,3.5,registered,MODERATE_TRUST,0,0,1.0,1.0,peh_7,REG_MOD,2,5,3.5,registered,MODERATE_TRUST,0,0,1.0,1.0,"1,1,1,1,1","[""RECEIVE_MEDICAL_ATTENTION"", ""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,9,peh_0,NONREG_LOW,2,ENGAGE_SOCIAL_SERVICES,0.1,False,False,False,4880.0,4910.0,peh_0,NONREG_LOW,1,3,2.5,non-registered,LOW_TRUST,0,0,0.0,0.8,peh_0,NONREG_LOW,1,3,2.0,non-registered,LOW_TRUST,1,0,0.0,0.8,peh_0,NONREG_LOW,1,3,2.0,non-registered,LOW_TRUST,1,0,0.0,0.8,"1,1,1,1,1","[""KEEP_FORWARD"", ""ENGAGE_SOCIAL_SERVICES"", ""REMAIN_DISENGAGED""]","[""RECEIVE_MEDICAL_ATTENTION"", ""APPLY_AND_GET_SHELTER""]"
run_001,policy_inclusive_healthcare,eval_policyOFF,10,peh_1,NONREG_LOW,0,RECEIVE_MEDICAL_ATTENTION,-0.05,False,False,False,4880.0,4900.0,peh_1,NONREG_LOW,4,0,2.5,non-registered,LOW_TRUST,0,0,0.0,0.0,peh_1,NONREG_LOW,4,0,2.0,non-registered,LOW_TRUST,0,0,0.0,0.0,peh_1,NONREG_LOW,4,0,2.0,non-registered,LOW_TRUST,0,0,0.0,0.0,"1,1,1,1,1","[""KEEP_FORWARD"", ""REMAIN_DISENGAGED""]","[""RECEIVE_MEDICAL_ATTENTION"", ""ENGAGE_SOCIAL_SERVICES"", ""APPLY_AND_GET_SHELTER""]"
