run_id,scenario,policy_tag,t_global,healthcare_budget,social_service_budget,sw_id,x,y,target_peh_idx
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,0,5,3,6
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,1,4,2,0
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,2,3,3,4
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,3,1,3,4
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,4,5,4,7
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,5,2,2,5
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,6,3,1,2
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,7,2,0,5
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,8,1,4,4
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,9,5,3,6
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,10,3,5,4
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,11,5,5,1
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,12,6,4,7
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,13,5,3,6
run_001,universal_health,eval_policyOFF,0,5000.0,5000.0,14,3,6,3
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,0,5,3,6
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,1,4,2,0
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,2,2,3,4
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,3,2,3,4
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,4,6,4,7
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,5,2,2,5
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,6,3,1,2
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,7,2,0,5
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,8,1,4,4
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,9,5,3,6
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,10,3,4,4
run_001,universal_health,eval_policyOFF,1,4970.0,4990.0,11,5,5,1
